11m,0.00%,45,7m,1.34%,68
11m,0.73%,45,8m,0.00%,68
11m,0.38%,45,8m,0.37%,68
TIME:7.29386210442,CODE:9
STOP
12m,0.64%,45,9m,0.00%,68
12m,0.00%,45,9m,0.70%,68
12m,0.41%,45,9m,0.43%,68
12m,0.00%,45,9m,0.00%,68
13m,0.44%,45,10m,0.44%,68
13m,0.00%,45,10m,0.44%,67
13m,0.00%,45,10m,0.74%,67
13m,2.58%,45,10m,0.00%,67
13m,0.00%,45,10m,0.46%,67
14m,0.78%,45,10m,0.00%,67
14m,0.00%,45,11m,0.79%,67
TIME:22.0781159401,CODE:1
STOP
15m,0.58%,44,11m,0.00%,67
15m,0.00%,44,12m,0.36%,67
15m,1.48%,44,12m,0.76%,67
15m,0.86%,45,12m,0.83%,67
16m,0.00%,45,12m,0.43%,67
16m,0.64%,45,12m,0.00%,67
16m,0.00%,45,13m,0.43%,67
16m,0.60%,45,13m,0.00%,67
16m,0.46%,45,13m,0.44%,67
17m,0.69%,45,13m,0.00%,67
17m,0.84%,45,13m,0.83%,67
17m,0.90%,45,13m,0.91%,67
TIME:22.7672948837,CODE:2
STOP
TIME:0.514764070511,CODE:3
STOP
TIME:0.724414825439,CODE:4
STOP
18m,0.00%,45,15m,0.53%,67
18m,0.42%,45,15m,0.41%,67
18m,0.00%,45,15m,0.00%,67
19m,0.45%,45,15m,0.00%,67
19m,0.00%,45,15m,0.74%,67
19m,0.84%,45,15m,0.00%,67
19m,0.00%,45,16m,0.85%,67
19m,0.67%,45,16m,0.68%,67
20m,0.00%,45,16m,0.00%,67
20m,1.61%,44,16m,0.79%,66
TIME:19.9868237972,CODE:5
STOP
20m,0.00%,45,17m,1.06%,67
21m,0.75%,44,17m,0.76%,66
21m,0.39%,44,17m,0.00%,66
21m,0.00%,44,17m,0.76%,66
21m,0.46%,44,18m,0.00%,66
22m,0.74%,44,18m,0.71%,66
22m,0.41%,44,18m,0.00%,66
22m,0.00%,45,18m,0.77%,66
22m,0.45%,43,18m,0.46%,65
22m,0.76%,43,18m,0.75%,65
23m,0.00%,43,19m,0.00%,65
23m,0.86%,44,19m,0.85%,65
TIME:22.937087059,CODE:6
STOP
24m,0.57%,44,19m,0.00%,66
24m,0.00%,44,20m,0.37%,66
24m,0.74%,44,20m,0.00%,66
24m,0.00%,44,20m,0.80%,66
24m,0.42%,44,20m,0.43%,66
8m,0.74%,44,20m,0.76%,66
8m,0.46%,43,20m,0.45%,66
8m,0.85%,43,21m,0.00%,65
9m,0.00%,43,21m,0.45%,65
9m,0.42%,43,21m,0.00%,65
TIME:21.6903779507,CODE:7
STOP
TIME:5.85871315002,CODE:8
STOP
TIME:4.74138402939,CODE:9
STOP
11m,0.65%,46,6m,0.62%,68
11m,0.00%,46,7m,0.00%,68
11m,0.81%,46,7m,0.80%,68
11m,0.00%,46,7m,0.44%,68
11m,1.49%,46,7m,0.77%,68
11m,0.00%,46,7m,0.00%,68
11m,0.46%,45,7m,0.46%,67
12m,0.00%,45,8m,0.84%,67
12m,0.90%,45,8m,0.00%,67
12m,0.00%,45,8m,0.70%,67
12m,0.82%,45,8m,0.00%,67
12m,0.00%,45,8m,1.73%,67
TIME:25.4253809452,CODE:1
STOP
13m,0.00%,45,9m,0.00%,68
13m,0.38%,45,9m,0.36%,68
14m,0.77%,45,9m,0.00%,68
14m,0.00%,46,9m,0.82%,68
14m,0.79%,46,10m,0.00%,68
14m,0.00%,46,10m,0.43%,68
14m,1.45%,46,10m,0.00%,68
15m,0.76%,46,10m,0.74%,68
15m,0.43%,45,10m,0.00%,67
15m,0.00%,45,10m,0.73%,67
15m,0.83%,45,11m,0.00%,67
16m,0.00%,45,11m,1.40%,67
TIME:23.6118748188,CODE:2
STOP
TIME:0.555099964142,CODE:3
STOP
TIME:0.607527017593,CODE:4
STOP
16m,0.55%,46,12m,0.54%,68
17m,0.40%,45,12m,0.00%,67
17m,0.74%,45,12m,0.74%,67
17m,0.84%,45,12m,0.00%,67
17m,0.00%,45,12m,0.85%,67
17m,0.62%,45,12m,0.00%,67
17m,0.00%,45,13m,0.43%,67
17m,0.70%,45,13m,0.72%,67
18m,0.44%,45,13m,0.00%,67
18m,0.00%,45,13m,0.72%,67
TIME:20.7006511688,CODE:5
STOP
18m,0.00%,46,14m,0.00%,68
19m,0.74%,46,14m,0.73%,68
19m,0.00%,46,14m,0.00%,68
19m,0.79%,46,14m,0.78%,68
19m,0.00%,45,15m,0.00%,67
19m,0.61%,45,15m,1.23%,67
20m,0.00%,44,15m,0.41%,66
20m,0.79%,45,15m,0.00%,66
20m,0.89%,44,15m,0.44%,66
20m,0.00%,44,15m,0.00%,66
20m,0.82%,44,15m,0.82%,66
20m,0.00%,45,16m,0.00%,66
21m,0.90%,43,16m,0.91%,65
TIME:23.4991919994,CODE:6
STOP
22m,0.49%,44,17m,0.00%,66
22m,0.39%,44,17m,0.38%,66
22m,0.78%,44,17m,0.00%,66
22m,0.00%,44,17m,0.85%,66
22m,0.44%,44,17m,0.45%,66
22m,0.66%,44,18m,0.66%,66
23m,0.00%,44,18m,0.00%,66
23m,0.72%,44,18m,0.73%,66
23m,0.00%,44,18m,0.00%,66
23m,0.79%,44,18m,0.78%,66
TIME:20.297809124,CODE:7
STOP
24m,0.00%,44,19m,1.21%,66
24m,0.60%,44,19m,0.00%,66
TIME:7.41290187836,CODE:8
STOP
8m,1.43%,45,20m,1.19%,67
8m,0.00%,45,20m,0.00%,67
9m,0.41%,45,20m,0.41%,67
TIME:7.67202305794,CODE:9
STOP
9m,0.99%,45,21m,0.00%,67
9m,0.71%,46,21m,0.67%,67
10m,0.00%,46,21m,0.47%,67
10m,0.82%,46,22m,0.00%,67
10m,0.00%,46,22m,0.42%,67
10m,0.00%,46,22m,0.80%,67
10m,0.46%,46,22m,0.00%,67
10m,0.00%,46,22m,0.78%,67
11m,0.84%,48,6m,0.86%,67
11m,0.91%,46,6m,0.00%,67
11m,0.00%,45,6m,0.85%,67
11m,0.85%,45,6m,0.00%,67
12m,0.00%,45,7m,0.85%,67
TIME:24.9317901134,CODE:1
STOP
12m,1.36%,46,8m,0.00%,68
13m,0.75%,46,8m,0.64%,68
13m,0.00%,46,8m,0.41%,68
13m,0.77%,46,8m,0.00%,68
13m,0.00%,46,8m,0.97%,68
13m,0.70%,47,8m,0.00%,68
13m,0.00%,46,9m,0.47%,67
14m,0.82%,46,9m,0.00%,67
14m,0.00%,46,9m,0.88%,67
14m,0.87%,46,9m,0.00%,67
14m,0.90%,46,9m,0.45%,67
14m,0.81%,46,10m,0.00%,67
14m,0.00%,46,10m,1.65%,67
15m,0.84%,46,10m,0.00%,67
15m,0.00%,46,10m,0.91%,67
TIME:25.4112570286,CODE:2
STOP
TIME:0.526146888733,CODE:3
STOP
TIME:0.565232992172,CODE:4
STOP
16m,0.00%,46,11m,0.00%,68
16m,0.40%,45,11m,0.38%,67
16m,0.00%,45,11m,0.00%,67
16m,0.86%,45,11m,0.85%,67
16m,0.45%,45,12m,0.45%,67
17m,0.00%,45,12m,0.66%,67
17m,0.43%,45,12m,0.42%,67
17m,0.66%,45,12m,0.00%,67
17m,0.45%,45,12m,0.45%,67
17m,0.00%,45,12m,0.00%,67
TIME:20.73072505,CODE:5
STOP
18m,0.00%,46,13m,0.45%,68
18m,0.39%,45,13m,0.00%,67
18m,0.81%,45,13m,0.77%,67
18m,0.00%,45,14m,0.00%,67
19m,1.64%,45,14m,0.81%,67
19m,0.00%,45,14m,0.44%,67
19m,0.72%,45,14m,0.74%,67
19m,0.74%,44,14m,0.00%,66
20m,0.00%,44,15m,0.41%,66
20m,0.70%,44,15m,0.00%,66
20m,0.00%,44,15m,0.84%,66
20m,0.84%,44,15m,0.00%,66
TIME:22.7942159176,CODE:6
STOP
21m,0.00%,45,16m,0.00%,67
21m,0.38%,44,16m,0.38%,66
22m,0.00%,44,16m,0.79%,66
22m,0.44%,44,16m,0.00%,66
22m,0.00%,44,16m,0.75%,66
22m,0.79%,44,17m,0.00%,66
22m,0.00%,44,17m,0.42%,66
22m,0.67%,44,17m,0.69%,66
23m,0.43%,44,17m,0.43%,66
23m,0.75%,44,17m,0.00%,66
TIME:20.5769169331,CODE:7
STOP
23m,1.28%,45,18m,0.00%,67
24m,0.44%,45,18m,0.85%,67
24m,0.00%,45,18m,0.00%,67
24m,0.72%,45,19m,0.73%,67
TIME:8.853069067,CODE:8
STOP
8m,7.41%,45,19m,0.00%,67
8m,0.39%,45,19m,0.37%,67
8m,0.00%,45,20m,0.68%,67
TIME:6.88374710083,CODE:9
STOP
9m,0.00%,46,20m,0.53%,68
9m,0.39%,46,20m,0.00%,68
9m,0.00%,46,21m,0.79%,68
10m,0.44%,46,21m,0.45%,68
10m,0.76%,46,21m,0.76%,68
10m,0.76%,46,21m,0.00%,68
10m,0.00%,46,21m,0.44%,68
10m,0.75%,47,21m,0.00%,68
11m,0.50%,46,22m,0.49%,68
11m,0.77%,46,22m,0.00%,68
11m,0.00%,45,22m,0.86%,67
11m,0.86%,45,22m,0.00%,67
TIME:22.2712390423,CODE:1
STOP
12m,0.57%,46,7m,0.54%,68
12m,0.00%,45,7m,0.00%,68
12m,0.42%,46,7m,0.43%,68
12m,0.00%,46,7m,0.00%,68
12m,0.81%,46,7m,0.81%,68
13m,0.00%,46,7m,0.86%,68
13m,0.43%,46,7m,0.43%,68
13m,0.00%,47,8m,0.00%,68
13m,0.89%,46,8m,0.44%,68
14m,0.74%,46,8m,0.00%,68
14m,0.00%,46,8m,0.85%,68
14m,0.89%,46,8m,0.00%,68
TIME:22.5184059143,CODE:2
STOP
TIME:0.576887845993,CODE:3
STOP
TIME:0.5721180439,CODE:4
STOP
15m,0.00%,46,9m,0.47%,68
16m,0.39%,46,9m,0.37%,68
16m,0.00%,46,9m,0.00%,68
16m,0.43%,46,10m,0.43%,68
16m,0.00%,46,10m,0.00%,68
16m,0.74%,46,10m,0.72%,68
16m,0.45%,46,10m,0.00%,68
16m,0.65%,46,10m,0.64%,68
17m,0.00%,46,11m,0.48%,68
17m,0.78%,45,11m,0.81%,67
TIME:20.2348241806,CODE:5
STOP
17m,0.00%,46,11m,0.00%,68
18m,0.40%,46,12m,0.40%,68
18m,0.00%,46,12m,0.74%,68
18m,0.86%,46,12m,0.45%,68
