14m,0.00%,38,9m,0.47%,62
15m,0.78%,38,10m,0.71%,62
15m,0.41%,38,10m,0.40%,62
15m,0.00%,38,10m,0.00%,62
15m,0.46%,38,10m,0.46%,62
15m,3.18%,40,10m,0.00%,62
16m,0.00%,40,11m,0.44%,62
16m,0.78%,40,11m,0.80%,62
16m,0.82%,40,11m,0.00%,62
16m,0.46%,40,11m,0.45%,62
16m,0.00%,40,11m,0.76%,62
17m,0.86%,40,11m,0.88%,62
17m,0.00%,40,11m,0.00%,62
TIME:22.8577389717,CODE:1
STOP
18m,0.00%,41,12m,0.00%,63
18m,0.72%,41,12m,0.66%,63
18m,0.00%,41,12m,0.78%,63
18m,0.75%,41,13m,0.00%,63
18m,0.00%,41,13m,0.43%,63
19m,0.71%,41,13m,0.00%,63
19m,0.00%,41,13m,0.45%,63
19m,0.79%,41,13m,0.00%,63
19m,0.93%,41,14m,0.46%,63
19m,0.00%,41,14m,0.00%,63
20m,0.84%,41,14m,1.68%,63
20m,0.00%,41,14m,0.00%,63
TIME:22.4026088715,CODE:2
STOP
TIME:0.678979873657,CODE:3
STOP
TIME:0.599033117294,CODE:4
STOP
21m,0.00%,42,15m,0.00%,64
21m,0.42%,42,15m,0.39%,64
21m,0.00%,42,15m,0.00%,64
21m,0.43%,42,15m,0.43%,64
21m,0.00%,42,16m,0.00%,64
21m,0.50%,41,16m,0.50%,64
22m,0.00%,41,16m,0.00%,64
22m,0.48%,41,16m,0.48%,64
22m,0.00%,41,16m,0.76%,64
22m,0.92%,41,16m,0.00%,64
TIME:18.439565897,CODE:5
STOP
23m,0.00%,42,17m,0.64%,65
23m,0.41%,42,17m,0.00%,65
23m,0.00%,42,17m,1.65%,65
23m,0.42%,42,18m,0.00%,65
23m,0.00%,42,18m,0.82%,65
24m,0.47%,42,18m,0.00%,65
24m,0.00%,42,18m,0.72%,65
24m,0.87%,42,18m,0.00%,65
24m,0.45%,42,18m,0.44%,65
8m,1.48%,42,19m,0.00%,65
8m,0.07%,43,19m,0.14%,65
9m,0.70%,42,19m,0.72%,65
TIME:34.7685120106,CODE:6
STOP
