TIME:23.2907969952,CODE:2
STOP
TIME:0.569460868835,CODE:3
STOP
TIME:0.637894868851,CODE:4
STOP
55m,3.32%,42,19m,0.00%,203
56m,0.41%,42,19m,0.41%,203
56m,0.00%,42,19m,0.83%,203
56m,0.97%,42,19m,0.50%,203
56m,0.64%,42,20m,0.62%,203
40m,0.87%,42,20m,0.87%,203
41m,0.00%,42,20m,0.00%,203
41m,0.81%,42,20m,1.62%,203
41m,0.84%,41,20m,0.87%,202
42m,0.84%,41,20m,0.85%,202
TIME:23.1044480801,CODE:5
STOP
42m,0.00%,42,22m,0.00%,203
43m,0.43%,42,22m,0.83%,203
43m,0.79%,42,22m,0.79%,203
43m,1.43%,42,22m,0.93%,203
43m,0.65%,42,22m,0.66%,203
44m,0.75%,42,23m,1.54%,203
44m,0.43%,41,23m,0.43%,202
44m,0.79%,41,23m,0.77%,202
44m,0.89%,41,23m,0.00%,202
45m,2.51%,41,23m,1.68%,202
45m,0.92%,41,24m,0.91%,202
TIME:24.2806568146,CODE:6
STOP
46m,3.39%,42,8m,2.73%,203
46m,0.85%,42,9m,0.83%,203
46m,0.00%,42,9m,0.00%,203
46m,0.48%,42,9m,0.49%,203
47m,0.70%,42,9m,0.71%,203
47m,0.48%,42,9m,0.48%,203
47m,0.00%,42,10m,1.51%,203
TIME:19.4136710167,CODE:7
STOP
TIME:6.96683692932,CODE:8
STOP
TIME:6.02863287926,CODE:9
STOP
48m,0.00%,42,11m,0.00%,204
48m,1.27%,42,12m,0.42%,204
49m,0.73%,42,12m,1.39%,204
49m,0.48%,42,12m,0.50%,204
49m,0.69%,42,12m,0.69%,204
49m,0.88%,42,12m,0.43%,204
50m,0.00%,42,13m,0.82%,204
50m,1.69%,41,13m,0.88%,203
50m,0.89%,41,13m,0.86%,203
51m,1.65%,41,13m,0.00%,203
TIME:24.2454080582,CODE:1
STOP
51m,1.27%,42,14m,0.00%,204
52m,0.41%,42,15m,0.79%,204
52m,0.77%,42,15m,0.00%,204
52m,0.90%,42,15m,0.44%,204
52m,0.00%,42,15m,1.40%,204
53m,1.33%,42,15m,0.45%,204
53m,0.00%,42,15m,0.00%,204
53m,0.86%,42,16m,0.86%,204
53m,0.89%,42,16m,0.91%,204
54m,2.43%,42,16m,1.63%,204
TIME:23.1932301521,CODE:2
STOP
TIME:0.581128835678,CODE:3
STOP
TIME:0.654345989227,CODE:4
STOP
55m,2.21%,42,17m,2.15%,204
55m,0.41%,42,17m,0.39%,204
56m,0.61%,42,18m,0.61%,204
56m,0.45%,42,18m,0.45%,204
56m,0.46%,42,18m,0.46%,204
56m,0.00%,42,18m,0.79%,204
57m,0.82%,42,18m,0.83%,204
41m,0.91%,42,19m,0.00%,204
41m,2.59%,41,19m,0.85%,203
TIME:21.9073898792,CODE:5
STOP
42m,1.29%,42,20m,1.21%,204
42m,0.40%,42,20m,0.38%,204
42m,2.17%,42,20m,0.71%,204
43m,0.00%,42,20m,0.00%,204
43m,1.47%,42,21m,1.45%,204
43m,0.45%,41,21m,0.46%,203
43m,0.77%,41,21m,0.79%,203
44m,0.00%,41,21m,0.85%,203
44m,2.65%,41,22m,1.76%,203
TIME:22.3082089424,CODE:6
STOP
45m,1.06%,42,23m,0.00%,203
45m,0.41%,42,23m,0.39%,203
45m,1.29%,42,23m,1.26%,203
46m,0.00%,42,23m,0.45%,203
46m,0.42%,42,23m,0.43%,203
46m,0.79%,42,24m,0.77%,203
46m,0.93%,42,24m,0.90%,203
TIME:19.2238969803,CODE:7
STOP
TIME:6.86448693275,CODE:8
STOP
TIME:5.22350406647,CODE:9
STOP
48m,1.19%,43,9m,0.00%,204
48m,0.77%,43,10m,0.36%,204
48m,1.35%,43,10m,0.64%,204
48m,0.43%,43,10m,0.88%,204
49m,0.61%,43,10m,0.64%,204
49m,0.42%,43,10m,0.41%,204
49m,0.81%,43,11m,0.79%,204
49m,1.74%,43,11m,0.00%,204
50m,1.71%,43,11m,1.70%,204
50m,0.90%,43,11m,0.90%,204
TIME:23.3159520626,CODE:1
STOP
51m,0.00%,43,12m,2.56%,204
51m,0.42%,43,12m,0.82%,204
51m,1.47%,43,12m,0.00%,204
52m,0.47%,43,13m,0.45%,204
52m,0.69%,43,13m,0.70%,204
52m,0.94%,43,13m,0.96%,204
52m,0.82%,43,13m,0.00%,204
53m,0.00%,43,13m,0.85%,204
53m,0.87%,43,13m,0.90%,204
53m,1.71%,43,14m,0.87%,204
TIME:22.9384908676,CODE:2
STOP
TIME:0.570878982544,CODE:3
STOP
TIME:0.650251865387,CODE:4
STOP
54m,1.25%,43,15m,1.11%,204
55m,0.42%,43,15m,0.81%,204
55m,1.26%,43,16m,0.64%,204
55m,0.44%,43,16m,0.43%,204
55m,0.43%,43,16m,0.43%,204
56m,0.75%,43,16m,0.77%,204
56m,0.00%,43,16m,0.83%,204
56m,0.85%,43,17m,0.87%,204
57m,1.75%,43,17m,0.86%,204
40m,1.81%,43,17m,0.00%,203
TIME:22.3389441967,CODE:5
STOP
41m,1.32%,43,18m,1.23%,204
41m,0.40%,43,18m,0.39%,204
42m,1.56%,43,18m,0.00%,204
42m,0.46%,43,18m,0.46%,204
42m,0.71%,43,19m,1.45%,204
42m,0.48%,43,19m,0.48%,204
43m,0.84%,43,19m,0.00%,204
43m,0.85%,42,19m,0.85%,203
43m,0.86%,42,19m,0.86%,203
43m,1.67%,42,20m,1.74%,203
44m,0.86%,42,20m,0.85%,203
TIME:24.0362069607,CODE:6
STOP
45m,1.23%,42,21m,1.08%,203
45m,0.79%,42,21m,0.38%,203
45m,0.47%,42,21m,0.46%,203
45m,0.00%,42,22m,0.80%,203
46m,0.45%,42,22m,0.47%,203
46m,0.82%,42,22m,1.57%,203
46m,0.90%,42,22m,0.00%,203
TIME:18.6246380806,CODE:7
STOP
TIME:6.31026315689,CODE:8
STOP
TIME:5.45347881317,CODE:9
STOP
47m,1.25%,42,24m,1.14%,203
47m,0.41%,42,24m,0.40%,203
48m,0.77%,42,24m,0.75%,203
48m,0.44%,42,24m,0.87%,203
48m,0.65%,42,24m,0.00%,203
48m,0.99%,42,8m,0.49%,203
48m,0.80%,42,9m,0.78%,203
49m,0.87%,42,9m,0.90%,203
49m,0.87%,42,9m,1.79%,203
49m,2.44%,42,9m,0.00%,203
TIME:23.3057940006,CODE:1
STOP
50m,0.00%,42,10m,0.00%,203
51m,0.81%,42,10m,0.79%,203
51m,0.00%,42,10m,0.77%,203
51m,1.58%,42,11m,0.82%,203
51m,0.45%,42,11m,0.44%,203
52m,1.53%,42,11m,0.00%,203
52m,0.48%,42,11m,0.97%,203
52m,0.80%,42,11m,0.84%,203
52m,0.90%,42,12m,0.00%,203
53m,1.69%,42,12m,0.83%,203
TIME:23.1139781475,CODE:2
STOP
TIME:0.585072040558,CODE:3
STOP
TIME:0.679360151291,CODE:4
STOP
54m,1.03%,42,13m,0.99%,203
54m,0.67%,42,13m,1.22%,203
54m,0.43%,42,13m,0.44%,203
55m,0.43%,42,14m,0.00%,203
55m,0.00%,42,14m,0.68%,203
55m,0.49%,42,14m,0.99%,203
55m,0.81%,42,14m,0.82%,203
56m,0.87%,42,14m,0.00%,203
56m,1.77%,42,14m,0.87%,203
56m,0.89%,41,15m,0.00%,202
TIME:23.3794219494,CODE:5
STOP
41m,0.00%,42,16m,0.00%,203
41m,1.58%,42,16m,0.77%,203
41m,1.62%,42,16m,0.00%,203
41m,0.45%,42,17m,1.35%,203
42m,0.68%,42,17m,0.00%,203
42m,0.48%,42,17m,0.47%,203
42m,0.81%,41,17m,1.63%,202
42m,1.67%,41,17m,0.87%,202
43m,0.87%,41,18m,0.85%,202
43m,0.85%,41,18m,0.00%,202
43m,0.85%,41,18m,0.86%,202
TIME:24.4639978409,CODE:6
STOP
44m,0.00%,42,19m,1.15%,203
44m,0.40%,42,19m,0.39%,203
44m,0.78%,42,19m,0.74%,203
45m,0.45%,42,19m,0.91%,203
45m,0.39%,42,19m,0.39%,203
45m,0.00%,42,20m,0.00%,203
45m,0.85%,42,20m,0.85%,203
TIME:19.3408000469,CODE:7
STOP
TIME:7.11912202835,CODE:8
STOP
TIME:5.48604106903,CODE:9
STOP
46m,1.22%,42,22m,1.12%,204
47m,0.38%,42,22m,0.37%,204
47m,1.50%,42,22m,0.75%,204
47m,0.42%,42,23m,0.84%,204
47m,0.00%,42,23m,0.69%,204
48m,1.96%,42,23m,0.65%,204
48m,0.47%,42,23m,0.46%,204
48m,0.80%,41,23m,0.00%,203
48m,0.82%,41,24m,0.81%,203
49m,1.69%,41,24m,1.71%,203
TIME:24.2748639584,CODE:1
STOP
50m,0.00%,42,9m,0.00%,204
50m,0.83%,42,9m,0.42%,204
50m,1.22%,42,9m,1.18%,204
50m,0.44%,42,9m,0.45%,204
51m,1.24%,42,9m,0.65%,204
51m,0.47%,42,10m,0.91%,204
51m,0.00%,42,10m,0.00%,204
51m,0.80%,42,10m,0.82%,204
52m,1.74%,42,10m,0.85%,204
52m,2.18%,42,10m,0.69%,204
TIME:23.2205431461,CODE:2
STOP
TIME:0.61762213707,CODE:3
STOP
TIME:0.635974168777,CODE:4
STOP
53m,3.17%,42,12m,0.00%,204
53m,0.42%,42,12m,1.22%,204
54m,0.65%,42,12m,0.00%,204
54m,0.43%,42,12m,0.42%,204
54m,0.44%,42,12m,0.44%,204
55m,0.76%,42,13m,0.78%,204
55m,0.87%,42,13m,1.74%,204
55m,0.89%,42,13m,0.00%,204
56m,1.78%,41,13m,0.87%,203
TIME:22.0562579632,CODE:5
STOP
56m,0.00%,42,14m,1.21%,204
57m,0.43%,42,14m,0.83%,204
40m,0.79%,42,15m,0.00%,204
41m,0.94%,42,15m,0.46%,204
41m,0.00%,42,15m,0.65%,204
41m,1.56%,42,15m,1.66%,204
42m,0.91%,41,15m,0.45%,203
42m,0.82%,41,16m,0.80%,203
42m,0.82%,41,16m,0.00%,203
42m,0.86%,41,16m,0.85%,203
42m,0.88%,41,16m,1.79%,203
TIME:24.4599120617,CODE:6
STOP
43m,3.37%,42,17m,0.00%,203
44m,0.40%,42,17m,0.39%,203
44m,0.46%,42,18m,0.92%,203
44m,0.00%,42,18m,0.81%,203
44m,0.91%,42,18m,0.00%,203
44m,0.80%,42,18m,0.76%,203
TIME:18.5256819725,CODE:7
STOP
TIME:6.76283812523,CODE:8
STOP
TIME:5.93937397003,CODE:9
STOP
46m,0.00%,42,20m,0.00%,204
46m,0.39%,42,20m,0.37%,204
46m,1.46%,42,21m,2.08%,204
47m,0.88%,42,21m,0.45%,204
47m,0.70%,42,21m,0.00%,204
47m,0.49%,42,21m,0.99%,204
47m,0.80%,42,22m,0.85%,204
47m,0.87%,42,22m,0.85%,204
48m,0.89%,42,22m,0.00%,204
48m,2.65%,42,22m,0.87%,204
TIME:23.1358969212,CODE:1
STOP
49m,3.12%,42,23m,2.53%,204
49m,0.85%,42,23m,0.41%,204
